"","part_social_group","week","part_age_group","sample","sample_total","sample_proportion","pop_estimate","pop_proportion","weight_raw","weight_proportion"
"2239","C2 - Skilled working class","2021 / 30","70-120",40,2830,0.0141342756183746,1949.06271,3.96286409255951e-05,48.72656775,0.00280372634548585
"2240","C2 - Skilled working class","2021 / 31","18-29",41,2276,0.0180140597539543,2109.64992,4.28937246243814e-05,51.454876097561,0.0023811248108559
"2241","C2 - Skilled working class","2021 / 31","30-39",25,2276,0.0109841827768014,1951.95504,3.96874482212354e-05,78.0782016,0.00361314528606127
"2242","C2 - Skilled working class","2021 / 31","40-49",23,2276,0.0101054481546573,1806.89271,3.67380187555204e-05,78.5605526086957,0.00363546655163324
"2243","C2 - Skilled working class","2021 / 31","50-59",24,2276,0.0105448154657293,1926.42765,3.91684214260033e-05,80.26781875,0.00371447196523264
"2244","C2 - Skilled working class","2021 / 31","60-69",61,2276,0.0268014059753954,1530.22317,3.1112731380488e-05,25.0856257377049,0.00116086191183591
"2245","C2 - Skilled working class","2021 / 31","70-120",22,2276,0.00966608084358524,1949.06271,3.96286409255951e-05,88.5937595454545,0.00409976303393884
"2246","C2 - Skilled working class","2021 / 32","18-29",32,2592,0.0123456790123457,2109.64992,4.28937246243814e-05,65.92656,0.00347439169457489
"2247","C2 - Skilled working class","2021 / 32","30-39",29,2592,0.0111882716049383,1951.95504,3.96874482212354e-05,67.3087944827586,0.00354723675136007
"2248","C2 - Skilled working class","2021 / 32","40-49",36,2592,0.0138888888888889,1806.89271,3.67380187555204e-05,50.1914641666667,0.00264513735039747
"2249","C2 - Skilled working class","2021 / 32","50-59",41,2592,0.0158179012345679,1926.42765,3.91684214260033e-05,46.9860402439024,0.00247620849600489
"2250","C2 - Skilled working class","2021 / 32","60-69",30,2592,0.0115740740740741,1530.22317,3.1112731380488e-05,51.007439,0.00268813999127416
"2251","C2 - Skilled working class","2021 / 32","70-120",22,2592,0.00848765432098765,1949.06271,3.96286409255951e-05,88.5937595454545,0.00466897442177921
"2252","C2 - Skilled working class","2021 / 33","18-29",35,3603,0.00971412711629198,2109.64992,4.28937246243814e-05,60.275712,0.00441560256633274
"2253","C2 - Skilled working class","2021 / 33","30-39",73,3603,0.0202608936996947,1951.95504,3.96874482212354e-05,26.7391101369863,0.00195882021837138
"2254","C2 - Skilled working class","2021 / 33","40-49",78,3603,0.0216486261448793,1806.89271,3.67380187555204e-05,23.1652911538462,0.00169701386636077
"2255","C2 - Skilled working class","2021 / 33","50-59",58,3603,0.016097696364141,1926.42765,3.91684214260033e-05,33.2142698275862,0.00243316935168776
"2256","C2 - Skilled working class","2021 / 33","60-69",65,3603,0.0180405217873994,1530.22317,3.1112731380488e-05,23.5418949230769,0.00172460263329074
"2257","C2 - Skilled working class","2021 / 33","70-120",23,3603,0.00638356924784901,1949.06271,3.96286409255951e-05,84.7418569565217,0.00620791275021388
"2258","C2 - Skilled working class","2021 / 34","18-29",30,2652,0.0113122171945701,2109.64992,4.28937246243814e-05,70.321664,0.00379180525679531
"2259","C2 - Skilled working class","2021 / 34","30-39",41,2652,0.0154600301659125,1951.95504,3.96874482212354e-05,47.6086595121951,0.00256710030933454
"2260","C2 - Skilled working class","2021 / 34","40-49",36,2652,0.0135746606334842,1806.89271,3.67380187555204e-05,50.1914641666667,0.00270636738165667
"2261","C2 - Skilled working class","2021 / 34","50-59",41,2652,0.0154600301659125,1926.42765,3.91684214260033e-05,46.9860402439024,0.00253352813711611
"2262","C2 - Skilled working class","2021 / 34","60-69",38,2652,0.0143288084464555,1530.22317,3.1112731380488e-05,40.2690307894737,0.00217134114792248
"2263","C2 - Skilled working class","2021 / 34","70-120",23,2652,0.00867269984917044,1949.06271,3.96286409255951e-05,84.7418569565217,0.00456935459715992
"2264","C2 - Skilled working class","2021 / 35","18-29",26,2562,0.0101483216237315,2109.64992,4.28937246243814e-05,81.1403815384616,0.00422668163414096
"2265","C2 - Skilled working class","2021 / 35","30-39",39,2562,0.0152224824355972,1951.95504,3.96874482212354e-05,50.0501292307692,0.00260716006007192
"2266","C2 - Skilled working class","2021 / 35","40-49",44,2562,0.0171740827478532,1806.89271,3.67380187555204e-05,41.0657434090909,0.00213915463753735
"2267","C2 - Skilled working class","2021 / 35","50-59",36,2562,0.0140515222482436,1926.42765,3.91684214260033e-05,53.5118791666667,0.0027874859914839
"2268","C2 - Skilled working class","2021 / 35","60-69",52,2562,0.0202966432474629,1530.22317,3.1112731380488e-05,29.4273686538462,0.00153290034224635
"2269","C2 - Skilled working class","2021 / 35","70-120",26,2562,0.0101483216237315,1949.06271,3.96286409255951e-05,74.9639503846154,0.00390494530966826
"2270","C2 - Skilled working class","2021 / 36","18-29",28,2275,0.0123076923076923,2109.64992,4.28937246243814e-05,75.34464,0.00348511512573099
"2271","C2 - Skilled working class","2021 / 36","30-39",23,2275,0.0101098901098901,1951.95504,3.96874482212354e-05,84.8676104347826,0.00392560629144828
"2272","C2 - Skilled working class","2021 / 36","40-49",28,2275,0.0123076923076923,1806.89271,3.67380187555204e-05,64.5318825,0.00298496402388604
"2273","C2 - Skilled working class","2021 / 36","50-59",36,2275,0.0158241758241758,1926.42765,3.91684214260033e-05,53.5118791666667,0.00247522663178215
"2274","C2 - Skilled working class","2021 / 36","60-69",23,2275,0.0101098901098901,1530.22317,3.1112731380488e-05,66.531442173913,0.00307745495176566
"2275","C2 - Skilled working class","2021 / 36","70-120",31,2275,0.0136263736263736,1949.06271,3.96286409255951e-05,62.8729906451613,0.00290823090663642
"2276","C2 - Skilled working class","2021 / 37","18-29",23,2545,0.00903732809430255,2109.64992,4.28937246243814e-05,91.7239095652174,0.00474628387691524
"2277","C2 - Skilled working class","2021 / 37","30-39",29,2545,0.0113948919449902,1951.95504,3.96874482212354e-05,67.3087944827586,0.00348291571458772
"2278","C2 - Skilled working class","2021 / 37","40-49",50,2545,0.0196463654223969,1806.89271,3.67380187555204e-05,36.1378542,0.00186996515465599
"2279","C2 - Skilled working class","2021 / 37","50-59",36,2545,0.0141453831041257,1926.42765,3.91684214260033e-05,53.5118791666667,0.00276898979247718
"2280","C2 - Skilled working class","2021 / 37","60-69",56,2545,0.0220039292730845,1530.22317,3.1112731380488e-05,27.32541375,0.00141396252434539
"2281","C2 - Skilled working class","2021 / 37","70-120",22,2545,0.00864440078585462,1949.06271,3.96286409255951e-05,88.5937595454545,0.00458431323434725
"2282","C2 - Skilled working class","2021 / 38","18-29",21,2342,0.0089666951323655,2109.64992,4.28937246243814e-05,100.45952,0.00478367157477625
"2283","C2 - Skilled working class","2021 / 38","30-39",43,2342,0.0183603757472246,1951.95504,3.96874482212354e-05,45.394303255814,0.00216158148218914
"2284","C2 - Skilled working class","2021 / 38","40-49",37,2342,0.015798462852263,1806.89271,3.67380187555204e-05,48.8349381081081,0.00232541729528186
"2285","C2 - Skilled working class","2021 / 38","50-59",37,2342,0.015798462852263,1926.42765,3.91684214260033e-05,52.0656121621622,0.00247925521566756
"2286","C2 - Skilled working class","2021 / 38","60-69",28,2342,0.0119555935098207,1530.22317,3.1112731380488e-05,54.6508275,0.00260235774618224
"2287","C2 - Skilled working class","2021 / 38","70-120",11,2342,0.00469684030742955,1949.06271,3.96286409255951e-05,177.187519090909,0.00843729791343125
"2288","C2 - Skilled working class","2021 / 39","18-29",18,2944,0.00611413043478261,2109.64992,4.28937246243814e-05,117.202773333333,0.00701550696078771
"2289","C2 - Skilled working class","2021 / 39","30-39",43,2944,0.0146059782608696,1951.95504,3.96874482212354e-05,45.394303255814,0.00271720575728644
"2290","C2 - Skilled working class","2021 / 39","40-49",42,2944,0.0142663043478261,1806.89271,3.67380187555204e-05,43.021255,0.00257516017181553
"2291","C2 - Skilled working class","2021 / 39","50-59",40,2944,0.0135869565217391,1926.42765,3.91684214260033e-05,48.16069125,0.00288279581695384
"2292","C2 - Skilled working class","2021 / 39","60-69",78,2944,0.0264945652173913,1530.22317,3.1112731380488e-05,19.6182457692308,0.00117430616902765
"2293","C2 - Skilled working class","2021 / 39","70-120",29,2944,0.00985054347826087,1949.06271,3.96286409255951e-05,67.2090589655172,0.00402299030637766
"2294","C2 - Skilled working class","2021 / 40","18-29",25,2948,0.00848032564450475,2109.64992,4.28937246243814e-05,84.3859968,0.00505802800770705
"2295","C2 - Skilled working class","2021 / 40","30-39",35,2948,0.0118724559023066,1951.95504,3.96874482212354e-05,55.770144,0.00334281706732005
"2296","C2 - Skilled working class","2021 / 40","40-49",35,2948,0.0118724559023066,1806.89271,3.67380187555204e-05,51.625506,0.00309439083689355
"2297","C2 - Skilled working class","2021 / 40","50-59",54,2948,0.0183175033921303,1926.42765,3.91684214260033e-05,35.6745861111111,0.00213830567340477
"2298","C2 - Skilled working class","2021 / 40","60-69",40,2948,0.0135685210312076,1530.22317,3.1112731380488e-05,38.25557925,0.00229300830274196
"2299","C2 - Skilled working class","2021 / 40","70-120",27,2948,0.00915875169606513,1949.06271,3.96286409255951e-05,72.1875077777778,0.00432686049809831
"2300","C2 - Skilled working class","2021 / 41","18-29",36,1809,0.0199004975124378,2109.64992,4.28937246243814e-05,58.6013866666667,0.00215540966237516
"2301","C2 - Skilled working class","2021 / 41","30-39",19,1809,0.0105030403537866,1951.95504,3.96874482212354e-05,102.734475789474,0.00377866283327446
"2302","C2 - Skilled working class","2021 / 41","40-49",34,1809,0.0187949143173024,1806.89271,3.67380187555204e-05,53.1439032352941,0.00195467870378637
